Source,Target
1,2
2,3
2,4
2,5
2,11
2,17
3,4
4,5
5,10
5,11
5,17
6,11
6,12
6,17
7,6
7,11
7,12
7,17
8,1
8,2
8,3
8,5
8,7
8,9
8,10
8,11
8,12
8,14
8,17
9,1
9,3
9,5
9,8
9,9
9,10
9,14
9,16
9,17
9,18
10,11
10,12
10,14
10,18
11,10
11,12
11,17
12,9
12,10
12,14
12,17
12,18
13,1
13,6
13,9
13,11
13,14
13,15
14,1
14,2
14,7
14,8
14,9
14,10
14,12
14,17
14,18
15,11
15,15
16,9
16,10
16,12
17,2
17,5
17,7
17,11
17,12
17,15
17,18
18,5
18,10
18,11
