Source,Target
1,2
2,"3,4,5"
3,4
4,5
5,"10,11"
7,"11,12"
8,"1,2,3,5,7,9,10,11,12,14"
9,"1,3,5,8,10,14,18"
10,"11,12"
11,12
12,"9,10,14"
14,"1,2,7,8,9,10,12,18"
18,"5,10,11"
