Source,Target
1,2
2,3
2,4
2,5
3,4
4,5
5,10
5,11
7,11
7,12
8,1
8,2
8,3
8,5
8,7
8,9
8,10
8,11
8,12
8,14
9,1
9,3
9,5
9,8
9,10
9,14
9,18
10,11
10,12
11,12
12,9
12,10
12,14
14,1
14,2
14,7
14,8
14,9
14,10
14,12
14,18
18,5
18,10
18,11
